Exporter,Importer,Value
France,Gabon,49730.0
Pakistan,Qatar,49709.0
Finland,Germany,49552.0
Brazil,Bahrain,49439.0
Hungary,Poland,49314.0
India,Sudan,49199.0
Argentina,Libya,49169.0
Thailand,Brunei Darussalam,49054.0
Portugal,Angola,48973.0
Argentina,Uruguay,48816.0
Australia,Italy,48726.0
"China, mainland","China, Macao SAR",48675.0
India,Russian Federation,48590.0
India,Belgium,48411.0
New Zealand,Japan,48243.0
Bulgaria,"China, mainland",48197.0
Serbia,Italy,48157.0
United States of America,Democratic Republic of the Congo,48138.0
Thailand,Congo,47994.0
India,Philippines,47979.0
Germany,Mauritania,47954.0
India,Bahrain,47901.0
Austria,Iran (Islamic Republic of),47759.0
Brazil,Tunisia,47634.0
Netherlands,Republic of Korea,47478.0
Russian Federation,Albania,47353.0
New Zealand,Switzerland,47341.0
Serbia,Spain,46894.0
France,Bulgaria,46856.0
France,Mali,46851.0
Russian Federation,Spain,46541.0
Ukraine,Djibouti,46477.0
India,Australia,46335.0
Thailand,Zimbabwe,46268.0
Netherlands,Benin,46239.0
Russian Federation,Tunisia,46082.0
Romania,Lebanon,45676.0
Sweden,Algeria,45545.0
New Zealand,Jordan,45406.0
Russian Federation,Bangladesh,45283.0
Canada,"China, Taiwan Province of",45215.0
Lithuania,Spain,44994.0
Uruguay,Venezuela (Bolivarian Republic of),44913.0
South Africa,Japan,44742.0
France,Czechia,44740.0
United States of America,Sri Lanka,44588.0
Canada,Costa Rica,44554.0
Argentina,Senegal,44544.0
United States of America,Guyana,44510.0
Ukraine,Lithuania,44477.0
Germany,Russian Federation,44467.0
United States of America,South Africa,44418.0
Romania,Portugal,44280.0
Germany,Sudan,44276.0
United States of America,Congo,44174.0
Argentina,Philippines,44125.0
Romania,Djibouti,43931.0
Poland,Benin,43818.0
Russian Federation,Cyprus,43733.0
Canada,South Africa,43649.0
Poland,"China, mainland",43643.0
Serbia,Netherlands,43490.0
Spain,"China, Hong Kong SAR",43246.0
Brazil,Bolivia (Plurinational State of),42937.0
Canada,Turkey,42876.0
Netherlands,Montenegro,42865.0
Mexico,Italy,42810.0
Australia,Switzerland,42800.0
Germany,Japan,42799.0
Lao People's Democratic Republic,"China, mainland",42678.0
Romania,Germany,42674.0
